No. elements,selection_sort,bubble_sort,insertion_sort,quick_sort,shell_sort,heap_sort
0,2,1,1,1,1,0
10000,103584,245219,73146,2236,3264,3510
20000,336022,999201,217522,2570,2983,3198
30000,754015,2300124,488662,4865,4485,4953
40000,2088128,5821439,868497,7563,6348,6801
50000,3288436,9119311,1370631,11233,7819,8667
60000,4732603,13354030,1972962,15292,9545,10024
70000,4156884,13118790,2692464,20251,11264,12170
80000,8409388,23559654,3533256,25883,14216,14076
90000,10646229,29715307,4468834,32301,14072,16096
100000,13146636,36757632,5542246,38492,16566,17270
110000,15904244,44484765,6705208,45922,17085,19699
120000,18957764,53078636,8000227,53838,20092,20903
130000,14382331,45327774,9388178,62560,20533,22767
140000,25787905,72338729,10910051,72732,23777,25384
150000,29587731,83000934,12508522,82891,24647,27194
160000,33699408,94411947,14205684,93914,30091,29227
170000,38044814,106629707,16059191,103813,31563,30876
180000,42609115,123501339,18008415,116135,29359,32947
190000,47410277,133428205,20032064,129386,31847,34567
200000,33985202,107597262,22211732,144002,33559,36417
210000,37447981,118427330,24426727,156324,34885,38324
220000,41141604,130210052,26860879,170766,36634,40154
230000,44925812,604176766,29376553,187188,39643,42182
240000,79530641,213270385,31936124,201013,41860,43881
250000,53064933,168028060,34712393,217205,43717,46294
260000,88845370,250548319,37523598,236909,42604,47524
270000,95810997,269882598,40476644,253764,44579,49432
280000,66578352,210676888,43501899,270911,48740,51418
290000,445793676,646507192,381615039,291850,49533,53808
300000,118211782,333415950,49944107,310729,53461,53545
310000,1558970686,1737237695,1088267402,332189,51926,56873
320000,134913819,378186094,57107112,352362,63850,58879
330000,143315903,569151345,60638625,374243,59067,60550
340000,98855471,313934158,64484426,402649,69296,64851
350000,161573897,456326599,68149009,420524,59101,64625
360000,110529763,351184761,72143336,446689,61735,66547
370000,116230963,367548090,75909848,469208,64848,68233
380000,190322948,535918323,80467062,494834,66497,70249
390000,428741496,787972321,310942333,519562,65405,72038
400000,1163578390,1544107148,88920771,542955,71005,74265
410000,142854908,451107718,93342606,571221,71140,76104
